"seqnames" "start" "end" "width" "strand" "Conc" "Conc_KO" "Conc_WT" "Fold" "p.value" "FDR" "annotation" "geneChr" "geneStart" "geneEnd" "geneLength" "geneStrand" "geneId" "transcriptId" "distanceToTSS" "ENSEMBL" "SYMBOL" "GENENAME" "Simplified_Annotation"
"1" "chr14" 25927361 25927761 401 "*" 8.92970497687928 7.52588135485025 9.43021731790951 -1.88885131510599 3.04198111712395e-44 2.48742795947225e-39 "Promoter (<=1kb)" 14 25924594 25927674 3081 2 "66039" "ENSMUST00000100811.6" 0 "ENSMUSG00000072676" "Tmem254" "transmembrane protein 254" "Promoter"
"2" "chr14" 25979207 25979607 401 "*" 8.66314239791758 7.40487773773949 9.13611774186383 -1.61249200670694 1.19807674530309e-23 4.89833677317169e-19 "Promoter (<=1kb)" 14 25979507 25989142 9636 1 "278672" "ENSMUST00000172667.8" 0 "ENSMUSG00000048502" "Duxbl1" "double homeobox B-like 1" "Promoter"
"3" "chr14" 25903189 25903589 401 "*" 6.62384103274786 5.28263085240869 7.11291159787359 -1.70671265466002 2.25343713107415e-20 6.14211847359777e-16 "Promoter (<=1kb)" 14 25887930 25903524 15595 2 "211623" "ENSMUST00000052286.16" 0 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "Promoter"
"4" "chr14" 25907640 25908040 401 "*" 6.69890606450546 5.08733099471333 7.23347179880419 -2.08649453756702 3.22798100942778e-18 6.59880017852274e-14 "Distal Intergenic" 14 25887930 25903524 15595 2 "211623" "ENSMUST00000052286.16" -4116 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "Intergenic"
"5" "chr14" 25886288 25886688 401 "*" 5.53741916001917 3.93139043525825 6.07114770448385 -2.0542664175266 2.45917749207952e-16 4.02173887054685e-12 "3' UTR" 14 25888828 25902898 14071 2 "211623" "ENSMUST00000183431.8" 16210 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "3' UTR"
"6" "chr5" 5408004 5408404 401 "*" 5.02295138070518 1.72431346675344 5.7000446544125 -3.59962344622672 4.63172283515358e-15 6.24884268840855e-11 "Intron (ENSMUST00000030763.13/18647, intron 2 of 14)" 5 5181876 5430193 248318 2 "18647" "ENSMUST00000153331.6" 21789 "ENSMUSG00000028926" "Cdk14" "cyclin dependent kinase 14" "Intron"
"7" "chr14" 26007902 26008302 401 "*" 5.73044407855202 4.22429308774819 6.24844251926728 -1.88403433629402 5.34938226964166e-15 6.24884268840855e-11 "Distal Intergenic" 14 25983429 25990512 7084 1 "278672" "ENSMUST00000049793.9" 24473 "ENSMUSG00000048502" "Duxbl1" "double homeobox B-like 1" "Intergenic"
"8" "chr14" 25879513 25879913 401 "*" 5.42624501057026 3.94951954950005 5.93936283970712 -1.78029975885891 1.39134683547205e-14 1.42213038420687e-10 "3' UTR" 14 25888828 25902898 14071 2 "211623" "ENSMUST00000183431.8" 22985 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "3' UTR"
"9" "chr14" 25892582 25892982 401 "*" 6.52064430715611 5.33943472601955 6.97763851739827 -1.26777084482162 1.48756506440852e-13 1.35153550351872e-09 "Intron (ENSMUST00000052286.16/211623, intron 1 of 3)" 14 25888828 25902898 14071 2 "211623" "ENSMUST00000183431.8" 9916 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "Intron"
"10" "chr14" 25937617 25938017 401 "*" 6.55863226088468 5.15520218902812 7.05907450217786 -1.63600965109228 3.28187113948419e-13 2.68358603075622e-09 "Promoter (<=1kb)" 14 25938728 25955374 16647 1 "105594" "ENSMUST00000183436.2" -711 "ENSMUSG00000095975" "Cphx1" "cytoplasmic polyadenylated homeobox 1" "Promoter"
"11" "chr14" 25894994 25895394 401 "*" 8.48708791446771 7.3426892948571 8.93607467002598 -1.19588441346035 1.5029653837205e-12 1.11724981297114e-08 "Intron (ENSMUST00000052286.16/211623, intron 1 of 3)" 14 25888828 25902898 14071 2 "211623" "ENSMUST00000183431.8" 7504 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "Intron"
"12" "chr16" 72459849 72460249 401 "*" 7.32644522249928 6.42300406261263 7.71629831201433 -0.999453953313625 3.75213487011496e-12 2.5567672360775e-08 "Promoter (<=1kb)" 16 72460037 72842983 382947 1 "19876" "ENSMUST00000023600.8" 0 "ENSMUSG00000022883" "Robo1" "roundabout guidance receptor 1" "Promoter"
"13" "chr14" 25917355 25917755 401 "*" 4.64639661323086 1.89211238274027 5.29519328730612 -3.00982742679077 1.35504057847774e-11 8.52320523862498e-08 "Distal Intergenic" 14 25925181 25926212 1032 2 "66039" "ENSMUST00000184129.2" 8457 "ENSMUSG00000072676" "Tmem254" "transmembrane protein 254" "Intergenic"
"14" "chr14" 25883456 25883856 401 "*" 5.16784248257024 3.94264812456365 5.63408508716016 -1.19041093333732 1.43251435059493e-10 8.36690703201053e-07 "Intron (ENSMUST00000022416.15/11744, intron 12 of 14)" 14 25888828 25902898 14071 2 "211623" "ENSMUST00000183431.8" 19042 "ENSMUSG00000095304" "Plac9" "placenta specific 9" "Intron"
"15" "chr14" 25918903 25919303 401 "*" 5.2706015982643 3.85254512553516 5.77363404363844 -1.3142825919627 4.83452212727148e-10 2.47074296466868e-06 "Distal Intergenic" 14 25925181 25926212 1032 2 "66039" "ENSMUST00000184129.2" 6909 "ENSMUSG00000072676" "Tmem254" "transmembrane protein 254" "Intergenic"
