seqnames	start	end	width	strand	L	area	beta	stat	pval	qval	index.start	index.end	index.width	direction	difference	KO1	KO2	KO3	KO4	KO5	WT1	WT2	WT3	WT4	WT5	WT6	WT7
chr12	112215639	112216368	730	*	22	3.21112460902702	0.547509146924579	8.57391151026183	5.56036836328333e-06	0.303462663794551	13955756	13955777	22	Hypermethylated	17	0.498897664110812	0.333159863024167	0.358149081703288	0.365361243264626	0.601743042306746	0.657008971812279	0.567356037347977	0.593623922714826	0.501420700214991	0.546497656260535	0.534373052043529	0.429790438191674
chr10	59217541	59219063	1523	*	19	2.85649375360794	-0.505169893552977	-8.18772310584674	1.000866305391e-05	0.303462663794551	11310418	11310436	19	Hypomethylated	-16	0.972464431684067	0.94621458269022	0.919323790279265	0.940026342625933	0.948956797207947	0.752812041462694	0.923859874264394	0.838341321645415	0.758677926365082	0.897751574861553	0.715834127147882	0.825015985664645
chr18	69109349	69110238	890	*	22	3.60878166524304	0.624127129898373	8.08714771770939	1.22328103992233e-05	0.303462663794551	18701644	18701665	22	Hypermethylated	20	0.169328793622085	0.174392161906714	0.120570546534455	0.164575553842715	0.352671186542454	0.39317562431148	0.409228552663351	0.26559599979097	0.277585905409036	0.337032805044858	0.350346394164845	0.238996543848196
chr13	95265523	95265731	209	*	7	0.969387851096085	0.609675672938173	7.92538679620303	1.44569577445367e-05	0.303462663794551	14728549	14728555	7	Hypermethylated	19	0.357388283831317	0.389995087550431	0.356621581281829	0.326971105818618	0.34804030934491	0.532969722234952	0.459995563756031	0.497792671837044	0.416607888199736	0.318278685751984	0.510934062228232	0.508382285745319
chr10	84228801	84229455	655	*	16	1.92074298641598	-0.429578161794269	-7.78936736261029	1.77931787625067e-05	0.303462663794551	11572496	11572511	16	Hypomethylated	-14	0.698317981469764	0.692025373206791	0.706120618071927	0.718780742969405	0.606741454003569	0.567122674875928	0.575453647719933	0.583497976059692	0.658365770804273	0.571686696376728	0.614830145491402	0.642246856914449
chr10	39398636	39399038	403	*	12	1.10715659863049	-0.451211890718733	-7.56967513071806	2.55776944711033e-05	0.325138568351305	11173081	11173092	12	Hypomethylated	-14	0.792423500888967	0.783799686172335	0.80348455090738	0.784220775568344	0.761739616812141	0.644655606651119	0.708324476010671	0.674846245331824	0.772675589399431	0.766618753345249	0.719744577554438	0.733168346824451
chr5	122124019	122124336	318	*	11	0.7955479479763	-0.379401458238027	-7.46120371712222	2.668976814376e-05	0.325138568351305	6200467	6200477	11	Hypomethylated	-12	0.944321948584903	0.899557221313136	0.855803728187374	0.910089083361546	0.795602199006406	0.82176658245409	0.800002586793532	0.808324570397046	0.86437969036528	0.826851970660543	0.844597451834366	0.809379589995899
chr5	124034499	124034921	423	*	11	0.947612460855712	0.555095692593667	7.36138680302121	3.669843119767e-05	0.358254533646345	6229066	6229076	11	Hypermethylated	18	0.435818095474521	0.615218308292085	0.539574517149531	0.506559422344738	0.659957433700259	0.669871232802139	0.597839060238008	0.585649726978557	0.534355435023346	0.53048368262489	0.488580560993789	0.579103791100304
chr5	148634043	148634767	725	*	15	1.69809399417388	-0.406238043177103	-7.33879943844958	3.78105048703266e-05	0.358254533646345	6514513	6514527	15	Hypomethylated	-13	0.833090519543944	0.854549424232161	0.812614580979644	0.839420640555264	0.756233079295098	0.766339078013897	0.696414975053219	0.755928882872302	0.755379369243982	0.730960796790046	0.727755851591557	0.755373707531093
chr1	186214588	186215231	644	*	14	2.03274938078907	-0.438341876571285	-7.24871289821173	5.004331526955e-05	0.363522982670556	1329077	1329090	14	Hypomethylated	-14	0.80841149935933	0.769938396917732	0.812226088075792	0.822314341115147	0.666896838598924	0.607943923859719	0.663321276140932	0.741953142725332	0.706211307161926	0.759994495554896	0.701386264242855	0.65116561476093
