Ensembl_ID	Gene_Symbol	Chromosome	Start	End	Length	GC_Content	Strand	Biotype	Description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight	WT4	WT1	WT2	KO5	KO4	KO3	wild_type	knock_out
ENSMUSG00000109644	0610005C13Rik	7	45217218	45224751	3583	51.19	-1	lncRNA	RIKEN cDNA 0610005C13 gene [Source:MGI Symbol;Acc:MGI:1918911]	13.4	0.16	0.28	0.547305262421903	0.584169	0.7791059	1.636	9.6	10.4	16	7.2	19.8	17.7	12	14.9
ENSMUSG00000007777	0610009B22Rik	11	51576213	51579701	998	43.02	-1	protein_coding	RIKEN cDNA 0610009B22 gene [Source:MGI Symbol;Acc:MGI:1913300]	618.8	0.18	0.15	1.21705994559777	0.2235814	0.5406065	1.51	630.3	557.3	540.1	691	659.5	634.9	575.9	661.8
ENSMUSG00000086714	0610009E02Rik	2	26335708	26349402	1803	48.3	1	lncRNA	RIKEN cDNA 0610009E02 gene [Source:MGI Symbol;Acc:MGI:3698435]	21	-0.2	0.28	-0.72753292733718	0.4668996	0.7147547	1.601	30.5	16.8	23.1	20.1	17.7	17.7	23.5	18.5
ENSMUSG00000043644	0610009L18Rik	11	120239504	120242016	619	61.36	1	lncRNA	RIKEN cDNA 0610009L18 gene [Source:MGI Symbol;Acc:MGI:1914088]	84.7	0.45	0.23	1.96908633644366	0.04894318	0.2810021	1.601	84.4	62.5	59	86	118.8	97.8	68.6	100.9
ENSMUSG00000042208	0610010F05Rik	11	23514961	23583639	5226	39.96	-1	protein_coding	RIKEN cDNA 0610010F05 gene [Source:MGI Symbol;Acc:MGI:1918925]	377.2	-0.17	0.16	-1.08025708733467	0.2800277	0.5916438	1.529	409.2	391.5	404.5	329.7	348	380.5	401.7	352.7
ENSMUSG00000020831	0610010K14Rik	11	70126032	70128740	1896	54.49	-1	protein_coding	RIKEN cDNA 0610010K14 gene [Source:MGI Symbol;Acc:MGI:1915609]	22.4	0.03	0.28	0.103255291787795	0.9177604	0.9465491	1.601	27.9	18.4	19.9	22.9	22.9	22.4	22.1	22.7
ENSMUSG00000107002	0610012G03Rik	16	31765868	31767312	1445	54.53	-1	protein_coding	RIKEN cDNA 0610012G03 gene [Source:MGI Symbol;Acc:MGI:1913301]	1531.5	0.32	0.15	2.15436697778171	0.0312114	0.2432249	1.51	1411.2	1295.5	1342.6	1813.4	1817	1509	1349.8	1713.1
ENSMUSG00000046683	0610025J13Rik	4	98209635	98220028	1121	44.31	1	lncRNA	RIKEN cDNA 0610025J13 gene [Source:MGI Symbol;Acc:MGI:1915618]	3.7	0.05	0.21	0.237357896951381	0.8123791	1	0	7	1.6	1.6	2.9	9.4	0	3.4	4.1
ENSMUSG00000058706	0610030E20Rik	6	72324300	72330131	5832	48.01	1	protein_coding	RIKEN cDNA 0610030E20 gene [Source:MGI Symbol;Acc:MGI:1915614]	355.7	-0.13	0.18	-0.730037589225642	0.4653672	0.7317821	1.51	323.9	406.8	393.3	276.7	345.9	387.6	374.6	336.7
ENSMUSG00000097882	0610038B21Rik	8	78243685	78250527	3071	49	1	lncRNA	RIKEN cDNA 0610038B21 gene [Source:MGI Symbol;Acc:MGI:1917595]	25.7	-0.76	0.28	-2.74027052704899	0.006138863	0.1030718	1.775	38.3	38.4	31.9	10	14.6	21.2	36.2	15.3
ENSMUSG00000058812	0610039K10Rik	2	163486770	163487721	952	58.4	1	lncRNA	RIKEN cDNA 0610039K10 gene [Source:MGI Symbol;Acc:MGI:1915636]	2.2	0.06	0.21	0.290846006484067	0.7711691	1	0	1.7	1.6	2.4	4.3	1	2.4	1.9	2.6
ENSMUSG00000089889	0610040B10Rik	5	143315002	143318459	2098	45.32	1	lncRNA	RIKEN cDNA 0610040B10 gene [Source:MGI Symbol;Acc:MGI:1914922]	50.6	0.07	0.26	0.27368245453973	0.7843287	0.7713988	2.239	61.8	33.6	51.1	51.6	39.6	66	48.8	52.4
ENSMUSG00000060512	0610040J01Rik	5	63969706	64056968	2403	44.11	1	protein_coding	RIKEN cDNA 0610040J01 gene [Source:MGI Symbol;Acc:MGI:1923511]	969.4	0.5	0.21	2.34855524325063	0.0188464	0.1951152	1.51	879.3	779.1	643	1662.9	909.5	942.4	767.1	1171.6
ENSMUSG00000097863	1010001B22Rik	5	110143377	110144264	589	49.66	-1	lncRNA	RIKEN cDNA 1010001B22 gene [Source:MGI Symbol;Acc:MGI:1922653]	8.6	0.35	0.28	1.25511442496497	0.2094372	1	0.031	6.1	3.2	8.8	7.2	12.5	14.1	6	11.3
ENSMUSG00000090066	1110002E22Rik	3	137770813	137787267	9998	47.34	1	protein_coding	RIKEN cDNA 1110002E22 gene [Source:MGI Symbol;Acc:MGI:1915066]	9.5	-0.29	0.28	-1.04960593884061	0.2938993	1	0.005	11.3	15.2	8.8	10	3.1	8.2	11.8	7.1
ENSMUSG00000097134	1110002J07Rik	10	66748268	66756037	2513	47.48	-1	lncRNA	RIKEN cDNA 1110002J07 gene [Source:MGI Symbol;Acc:MGI:1915738]	3.6	-0.03	0.23	-0.116770077200053	0.9070423	1	0	2.6	4	4.8	0	3.1	7.1	3.8	3.4
ENSMUSG00000071456	1110002L01Rik	12	3453878	3477011	4131	44.74	-1	lncRNA	RIKEN cDNA 1110002L01 gene [Source:MGI Symbol;Acc:MGI:1915821]	63.4	-0.1	0.24	-0.425492420309654	0.6704777	0.8316346	1.601	73.1	65.7	60.6	47.3	51.1	82.5	66.5	60.3
ENSMUSG00000106291	1110003F10Rik	5	65563094	65563860	767	41.85	1	TEC	RIKEN cDNA 1110003F10 gene [Source:MGI Symbol;Acc:MGI:1915726]	8.9	-0.18	0.27	-0.648007244357869	0.5169803	1	0.03	4.4	16	11.2	2.9	7.3	11.8	10.5	7.3
ENSMUSG00000030663	1110004F10Rik	7	115638632	115704445	2490	38.94	1	protein_coding	RIKEN cDNA 1110004F10 gene [Source:MGI Symbol;Acc:MGI:1929274]	3103.6	0.16	0.13	1.23002998180288	0.2186859	0.5832107	1.243	2946	2913.7	2911.8	3388.9	3219.4	3241.8	2923.9	3283.3
ENSMUSG00000107121	1110006O24Rik	5	115769108	115769875	768	59.38	-1	lncRNA	RIKEN cDNA 1110006O24 gene [Source:MGI Symbol;Acc:MGI:1913373]	37.9	-0.09	0.25	-0.363743911123783	0.7160492	0.8189489	1.775	40	39.2	39.1	40.1	33.3	35.3	39.5	36.3
ENSMUSG00000039195	1110008P14Rik	2	32267109	32271950	2694	55.53	-1	protein_coding	RIKEN cDNA 1110008P14 gene [Source:MGI Symbol;Acc:MGI:1920987]	392.7	0.25	0.18	1.38094234577652	0.1672967	0.5144308	1.269	367.4	327.5	369.4	346.9	509.5	435.8	354.7	430.7
ENSMUSG00000116164	1110013H19Rik	15	100511054	100511724	671	50.22	-1	lncRNA	RIKEN cDNA 1110013H19 gene [Source:MGI Symbol;Acc:MGI:1915772]	5.2	0.41	0.25	1.6544874453287	0.09802851	1	0	1.7	0.8	4.8	10	4.2	9.4	2.4	7.9
