"chr" "start" "end" "strand" "pvalue" "qvalue" "meth.diff" "direction" "tot_coverage"
"18045154" "chr18" 57872953 57872953 "*" 1.99852809103672e-22 7.89500775030867e-15 96.875 "positive" 77
"18045155" "chr18" 57872954 57872954 "*" 3.30153503883699e-21 6.52121049397216e-14 100 "positive" 65
"1111763" "chr1" 82978619 82978619 "*" 2.71554888022584e-20 3.07592940267537e-13 97.0588235294118 "positive" 68
"34188239" "chr7" 134404847 134404847 "*" 3.11454099183231e-20 3.07592940267537e-13 100 "positive" 62
"17670337" "chr18" 34519095 34519095 "*" 7.75734987055039e-20 6.12894435905389e-13 100 "positive" 60
"25103691" "chr4" 22188669 22188669 "*" 3.84223113537625e-19 2.38532480841812e-12 -96.2962962962963 "negative" 66
"29811495" "chr5" 146822026 146822026 "*" 4.22671788381566e-19 2.38532480841812e-12 96.969696969697 "positive" 64
"37671969" "chr9" 71741598 71741598 "*" 2.09715984381264e-18 1.03558046636888e-11 -95.6521739130435 "negative" 67
"25423249" "chr4" 45802119 45802119 "*" 4.07840393143173e-18 1.46878228462712e-11 -89.7435897435898 "negative" 73
"35811117" "chr8" 93915441 93915441 "*" 4.08985402308514e-18 1.46878228462712e-11 95.8333333333333 "positive" 64
"36286360" "chr8" 119606107 119606107 "*" 3.9367774220262e-18 1.46878228462712e-11 100 "positive" 55
"29811496" "chr5" 146822027 146822027 "*" 4.50870233351592e-18 1.48426901555658e-11 92.8571428571429 "positive" 67
"36286361" "chr8" 119606108 119606108 "*" 3.40146644385197e-17 1.03363008687272e-10 100 "positive" 57
"34188238" "chr7" 134404846 134404846 "*" 1.31857718999238e-16 3.72065864053331e-10 88.4615384615385 "positive" 68
"16773201" "chr17" 66910476 66910476 "*" 2.77684069659214e-16 7.31310838854909e-10 96 "positive" 55
"25423252" "chr4" 45802128 45802128 "*" 6.94719168713087e-16 1.71526648970963e-09 -83.049853372434 "negative" 86
"16808453" "chr17" 68610907 68610907 "*" 1.10568796559135e-15 2.56936595337858e-09 96.6666666666667 "positive" 53
"29593193" "chr5" 137434573 137434573 "*" 1.26775150325696e-15 2.78229985262334e-09 82.8571428571429 "positive" 71
"25866136" "chr4" 80291687 80291687 "*" 3.25942224768241e-15 6.77687270852058e-09 -87.8048780487805 "negative" 67
"25423251" "chr4" 45802127 45802127 "*" 5.52175752218955e-15 1.09066063740934e-08 -83.4432234432234 "negative" 74
"25286910" "chr4" 37297148 37297148 "*" 5.97982619149364e-15 1.12489392137378e-08 94.7368421052632 "positive" 54
"16808452" "chr17" 68610906 68610906 "*" 1.43125716008753e-14 2.57002468745389e-08 96.2962962962963 "positive" 49
"21581906" "chr2" 126193405 126193405 "*" 1.57379406328566e-14 2.70310160474688e-08 77.7777777777778 "positive" 73
"27250023" "chr4" 152461581 152461581 "*" 3.85534361543045e-14 6.34591357935683e-08 70 "positive" 83
"12592473" "chr15" 7188541 7188541 "*" 4.54629639908057e-14 6.90759238625505e-08 77.7777777777778 "positive" 70
"37671970" "chr9" 71741599 71741599 "*" 4.52958491221924e-14 6.90759238625505e-08 -90.3263403263403 "negative" 61
"16710770" "chr17" 63822236 63822236 "*" 5.44443698730845e-14 7.68273146348919e-08 85 "positive" 63
"29593194" "chr5" 137434574 137434574 "*" 5.44541998786621e-14 7.68273146348919e-08 91.304347826087 "positive" 52
"32227210" "chr7" 10079794 10079794 "*" 7.91983025841412e-14 1.07884779789443e-07 78.125 "positive" 68
"12592474" "chr15" 7188542 7188542 "*" 8.50634121111087e-14 1.1083964488571e-07 88 "positive" 55
"37220819" "chr9" 48146105 48146105 "*" 8.69790211513721e-14 1.1083964488571e-07 81.4814814814815 "positive" 63
"21624664" "chr2" 128377144 128377144 "*" 1.31763968726638e-13 1.62663080483741e-07 91.6666666666667 "positive" 50
"25423250" "chr4" 45802120 45802120 "*" 2.09689667335766e-13 2.51018306043597e-07 -76.3392857142857 "negative" 88
